1,39.25,0.43,22.75,0.43,33.75,1.30,1
2,39.25,0.43,23,0,33,0,1
3,39.25,0.43,23.25,0.43,33,0,1
4,39.5,0.5,23,0.71,33,0,1
5,39.5,0.5,24,0,33,0,1
6,39.25,0.43,24,0,33,0,1
7,39.25,0.43,24,0,33,0,1
8,39,0,23.75,0.43,33,0,1
9,39.5,0.5,24,0,33,0,1
10,39.5,0.5,23,0,33,0,1
11,39.5,0.5,23.25,0.43,33,0,1
12,39.5,0.5,23.5,0.5,32.75,0.43,1
13,39.5,0.5,23.75,0.43,32.5,0.5,1
14,39.67,0.47,23.75,0.43,33,0,1
15,39.5,0.5,24,0,33,0,1
16,39.5,0.5,23.25,0.43,33,0,1
17,39.5,0.5,22.5,0.5,33,0,1
18,39.5,0.5,22,0.71,33,0,1
19,40.25,0.83,21,0,33,0,1
20,40.5,0.5,18.67,1.7,33,0,1
21,40.67,0.47,15.5,0.87,33,0,1
22,40.5,0.5,15,0,33,0,1
23,40.5,0.5,15,0,33,0,1
24,40.33,0.47,16,0,33,0,1
25,40.5,0.5,16,0.71,33,0,1
26,40.5,0.5,16.5,0.87,33,0,1
27,40.5,0.5,17.5,0.87,33,0,1
28,40.5,0.5,19.75,1.09,33.75,1.3,1
29,40.75,0.83,21,0,33,0,1
30,40.75,0.83,21,0,33,0,1
31,41,1,20.75,0.43,33.75,1.3,1
32,41,1,19.67,0.47,34,1.41,1
33,40.75,0.83,19.25,0.43,33.75,1.3,1
34,40.67,0.47,19.75,0.43,34,1.41,1
35,41,0.82,19,0.71,35,1.41,1
36,41,0.89,17.75,1.09,34.2,1.47,1
37,41.5,0.5,18,0,33,0,1
38,41.67,0.47,19.5,0.5,33.75,1.3,1
39,41.25,0.83,20.25,0.43,34.25,1.3,1
40,41,0.82,20.33,0.47,33.75,1.3,1
41,41.5,0.5,21,0,33.75,1.3,1
42,41.5,0.5,19.25,1.3,33,0,1
43,41.5,0.5,17.75,0.83,34.5,1.5,1
44,41.5,0.5,19,0.71,35.25,1.3,1
45,41.5,0.5,15.5,2.18,33,0,1
46,41.75,0.43,15,0,33.5,0.87,1
47,41.75,0.43,14.75,0.43,33,0,1
48,41.75,0.43,11.75,0.43,33.75,1.3,1
49,41.75,0.43,13.75,1.09,34.5,1.5,1
50,41.5,0.5,13.5,1.5,33.75,1.3,1
51,41.5,0.5,13.33,1.25,33,0,1
52,41.5,0.5,16.25,1.3,33,0,1
53,41.75,0.43,17.75,0.43,32.5,0.5,1
54,41.75,0.43,16,0.71,33,0,1
55,42,0,15,1,33,0,1
56,42,0,13.5,1.12,33,0,1
57,41.75,0.43,13,1.22,33,0,1
58,41.75,0.43,13.25,1.09,33,0,1
59,41.5,0.5,12.25,0.43,33,0,1
60,41.67,0.47,13,1,33,0,1
61,41.5,0.5,12.5,0.87,33,0,1
62,41.5,0.5,14.5,0.5,32.75,0.43,1
63,41.33,0.47,14.67,2.49,33.75,1.3,1
64,41.5,0.5,17.5,1.5,33,0,1
65,41.5,0.5,16.5,1.12,33.75,1.3,1
66,41.75,0.43,15.25,1.09,33,0,1
67,42,0,15.75,0.83,33,0,1
68,41.75,0.43,15.75,0.43,33,0,1
69,42,0,15,0,33,0,1
70,41.75,0.43,15.33,0.47,33,0,1
71,42,0,4,0,33,0,1
72,41.75,0.43,9.5,1.8,33,0,1
73,42,0,10.67,0.47,33,0,1
74,41.5,0.5,13,1,33.75,1.3,1
75,41.5,0.5,9,2.16,33,0,1
76,41.75,0.43,13.5,0.87,33,0,1
77,42,0,13.5,7.23,33,0,1
78,41.75,0.43,10,3.08,33,0,1
79,41.67,0.47,16.33,2.62,33.75,1.3,1
80,42,0,13.5,0.87,33,0,1
81,41.75,0.43,13,0.71,33,0,1
82,42,0,9.25,2.68,33,0,1
83,42,0,13.75,2.17,33,0,1
84,42,0,18,1.22,33.75,1.3,1
85,42,0,18.25,0.43,35.25,1.3,1
86,42,0,18,0,36,0,1
87,42,0,17,0.82,36,0,1
88,42,0,16,0.71,33.75,1.3,1
89,42,0,16.5,1.12,35,1.41,1
90,42,0,15.75,0.83,33.75,1.3,1
91,42,0,18,0,33.75,1.3,1
92,42,0,18,0,34.75,1.09,1
93,42,0,18,0,35,1.22,1
94,42,0,18,0,34.5,1.5,1
95,42,0,18,0,33.67,0.94,1
96,42,0,19.5,0.5,35.25,1.3,1
97,42,0,18,0,35.75,0.43,1
98,42,0,18,0,35,1.41,1
99,42,0,18,0,35,1.41,1
100,42,0,18,0,35.25,1.3,1
101,42,0,18,0,36,0,1
102,42,0,18.75,0.83,35.25,1.3,1
103,42,0,20.25,0.43,35,1.22,1
104,42,0,20.25,0.43,34.25,1.3,1
105,42,0,19.5,0.5,35.75,0.43,1
106,42,0,18.75,0.43,35,1.22,1
107,42,0,18,0,35,1.41,1
108,42,0,18,0,34,1.41,1
109,42,0,18,0,35.25,1.3,1
110,42,0,18,0,35.25,1.3,1
111,42,0,18,0,35.25,1.3,1
112,42,0,17.75,0.43,36,0,1
113,42.33,0.47,17.5,0.5,35,1.41,1
114,42,0,17.67,0.47,36,0,1
115,42,0,18,0,35.25,1.3,1
116,42,0,18,0,34.5,1.5,1
117,42,0,19,0.71,33.75,1.3,1
118,42,0,20,0,33.75,1.3,1
119,42,0,20,0.71,35,1.22,1
120,42,0,19,0,33.67,0.94,1
121,42,0,20.4,0.8,35.4,1.2,1
122,42,0,21,0,36,0,1
123,42,0,20.6,0.49,35.4,1.2,1
124,42,0,19.33,0.47,34,1.41,1
125,42,0,19.5,0.5,35.75,0.43,1
126,42,0,19.75,0.43,35,1.41,1
127,42,0,19.5,0.5,34.5,1.5,1
128,42,0,20.5,0.5,33.75,1.3,1
129,42,0,20.67,0.47,34.5,1.5,1
130,42,0,20.25,0.43,34.5,1.5,1
131,42,0,20,0,35.25,1.3,1
132,42,0,19.75,0.43,33.75,1.3,1
133,42,0,19.25,0.43,35.25,1.3,1
134,42,0,19,0,36,0,1
135,42,0,18.5,0.5,35.25,1.3,1
136,42,0,18.75,0.43,35.25,1.3,1
137,42,0,20,0,36,0,1
138,42,0,20.33,0.47,35.33,0.94,1
139,42,0,21,0,35,1.41,1
140,42,0,21,0,35,1.22,1
141,42,0,21,0,34.5,1.5,1
142,42,0,21,0,35.25,1.3,1
143,42,0,20.5,0.5,35,1.41,1
144,42,0,21,0,36,0,1
145,42,0,20.5,0.5,36,0,1
146,42,0,20.25,0.43,34.75,1.3,1
147,42,0,19.75,0.43,36,0,1
148,42,0,19.5,0.5,35.25,1.3,1
149,42,0,19.75,0.43,36,0,1
150,42,0,19.5,0.5,35.25,1.3,1
151,42,0,20,0.71,36,0,1
