1,50,21,77,0,28,0,27,48,22,2
2,55,0,92,0,0,26,36,92,56,4
3,53,0,82,0,52,-5,29,30,2,1
4,37,0,76,0,28,18,40,48,8,1
5,37,0,79,0,34,-26,43,46,2,1
6,85,0,88,-4,6,1,3,83,80,5
7,56,0,81,0,-4,11,25,86,62,4
8,55,-1,95,-3,54,-4,40,41,2,1
9,53,8,77,0,28,0,23,48,24,4
10,37,0,101,-7,28,0,64,73,8,1
11,37,0,78,-2,12,0,42,65,24,1
12,45,0,84,0,46,20,38,37,0,1
13,38,2,77,0,38,7,39,38,0,1
14,37,0,78,0,-2,5,41,81,40,1
15,41,0,100,0,38,-8,59,61,2,1
16,41,0,89,1,38,-16,48,50,2,1
17,47,0,85,-2,46,-4,38,39,0,1
18,49,0,79,0,46,-5,30,32,2,1
19,49,3,82,0,50,4,33,33,0,1
20,37,-318,105,-2,36,-4,68,69,0,1
21,44,3,77,0,44,2,33,33,0,1
22,106,2,108,0,70,0,1,38,36,5
23,37,-5,76,0,28,0,40,48,8,1
24,49,0,100,0,50,19,52,51,0,1
25,45,-1,87,-2,44,-4,43,43,0,1
26,37,4,80,0,-2,0,43,83,40,1
27,55,-1,98,0,52,8,42,46,4,4
28,55,0,86,8,54,0,31,32,0,1
29,55,3,88,3,54,0,32,33,2,1
30,37,0,74,0,26,-1,38,48,10,1
31,37,0,106,0,36,3,68,69,2,1
32,49,0,107,0,46,-16,58,60,2,1
33,79,5,83,0,-46,0,4,130,126,5
34,51,0,79,0,52,29,28,27,0,1
35,59,4,84,0,60,24,25,24,0,1
36,37,0,108,0,30,-21,71,77,6,1
37,56,3,97,0,46,9,41,51,10,4
38,39,5,77,0,38,0,37,38,0,1
39,51,-5,81,0,52,0,30,30,0,1
40,49,0,77,0,46,-9,29,31,2,1
41,46,2,77,0,44,-19,32,34,2,1
42,56,0,81,0,56,0,24,24,0,1
43,56,0,79,0,16,3,23,63,40,4
44,37,0,105,0,34,4,68,71,4,1
45,76,0,81,-2,-40,13,5,122,118,5
46,56,0,80,0,56,7,24,23,0,1
47,41,2,76,0,42,11,35,35,0,1
48,41,1,85,0,38,0,44,46,2,1
49,56,-4,97,0,52,-2,41,45,4,4
50,49,0,95,1,50,2,46,46,0,1
51,37,2,76,0,36,0,38,39,2,1
52,56,1,99,0,50,16,42,49,8,4
53,56,-4,88,0,56,0,31,31,0,1
54,37,-3,81,-2,38,-9,43,42,0,1
55,47,0,84,4,46,0,38,38,0,1
56,41,1,86,2,42,14,45,45,0,1
57,53,3,81,0,54,0,27,26,0,1
58,47,5,79,0,46,0,32,32,0,1
59,104,7,105,7,70,0,1,35,34,5
60,101,-3,102,-4,72,0,1,29,28,5
61,45,0,86,0,44,-17,41,42,2,1
62,42,4,77,0,42,1,35,35,0,1
63,45,0,79,0,44,-4,34,35,2,1
64,37,0,80,0,36,15,43,44,2,1
65,56,0,96,-1,44,0,40,52,12,4
66,56,0,81,0,-10,-3,25,92,66,4
67,42,0,83,2,42,0,41,42,2,1
68,51,1,88,0,52,7,37,37,0,1
69,49,3,82,0,46,-8,33,35,2,1
70,41,1,86,3,42,6,45,45,0,1
71,37,0,77,0,336,4910,41,-258,-298,1
72,49,0,84,0,46,-4,36,38,2,1
73,37,-1,77,-3,34,-6,40,43,2,1
